experiment,seed,window,accuracy,alert_level,cosine_drift,max_jsd,max_wasserstein
Covariate,0,1,0.8542178542178542,ok,0.00028061866760253906,0.003353786015943474,0.05203429118176988
Covariate,0,2,0.8513513513513513,ok,0.0003293156623840332,0.003622845253423178,0.046084095450658495
Covariate,0,3,0.8484848484848485,warning,0.0006455779075622559,0.003992918740341967,0.04854679154443095
Covariate,0,4,0.8632268632268633,warning,0.00031256675720214844,0.0024977323520898346,0.05308741940551598
Covariate,0,5,0.8513513513513513,warning,0.0003091096878051758,0.003032725120841185,0.03209729385418747
Covariate,0,6,0.8611793611793612,warning,0.00023895502090454102,0.004149340215623427,0.07499299284940175
Covariate,0,7,0.8546273546273546,warning,0.0008966922760009766,0.0030939606206524016,0.055609112766679646
Covariate,0,8,0.8587223587223587,warning,0.00018662214279174805,0.0027373662510678056,0.024644737343176477
Covariate,0,9,0.8583128583128583,warning,0.0008597373962402344,0.0037045117359412382,0.08604365053983669
Covariate,0,10,0.8419328419328419,warning,0.0012132525444030762,0.05221327928825349,0.29323306654828885
Covariate,0,11,0.8378378378378378,critical,0.0007302165031433105,0.054056817054711825,0.27535854377709706
Covariate,0,12,0.8447993447993448,critical,0.0010856389999389648,0.0456881729344427,0.26367975451681885
Covariate,0,13,0.8263718263718264,critical,0.0005924701690673828,0.048938253710551556,0.2657765840771961
Covariate,0,14,0.834971334971335,critical,0.0007332563400268555,0.05458010265005222,0.26333391877482465
Covariate,0,15,0.8071253071253072,critical,0.006571054458618164,0.11348729885657491,0.5690353104259835
Covariate,0,16,0.8206388206388207,critical,0.007595241069793701,0.10376280694082424,0.5513927044319779
Covariate,0,17,0.8108108108108109,critical,0.006595194339752197,0.1128597458575759,0.590776684864414
Covariate,0,18,0.821048321048321,critical,0.006365716457366943,0.10742470843659137,0.54191600942961
Covariate,0,19,0.837152209492635,critical,0.008065402507781982,0.10499487916710443,0.5611470634025316
Covariate,1,1,0.8583128583128583,ok,0.00022846460342407227,0.003176264971505931,0.057170404159941776
Covariate,1,2,0.8505323505323505,ok,0.00024271011352539062,0.0043366320934400335,0.032941697637514714
Covariate,1,3,0.8480753480753481,warning,0.00040715932846069336,0.002922772273731846,0.053312878266288104
Covariate,1,4,0.8546273546273546,warning,0.0002703666687011719,0.0033761521050419217,0.04984218357657191
Covariate,1,5,0.8390663390663391,warning,0.0008816123008728027,0.0028140682023089425,0.07828391143284828
Covariate,1,6,0.8566748566748567,warning,0.0003892183303833008,0.0037234486966954894,0.06366753684895322
Covariate,1,7,0.8636363636363636,warning,0.00038546323776245117,0.004203579862707385,0.053301376984344145
Covariate,1,8,0.8476658476658476,warning,0.001041710376739502,0.003891000371693874,0.08588116008782244
Covariate,1,9,0.8407043407043407,warning,0.00011646747589111328,0.0031556890416819905,0.03242057850729323
Covariate,1,10,0.846027846027846,warning,0.0021047592163085938,0.09108826562418992,0.3058451636092679
Covariate,1,11,0.8366093366093366,warning,0.0021335482597351074,0.08644769991878593,0.2605618474196798
Covariate,1,12,0.8468468468468469,critical,0.001714169979095459,0.09175016627443407,0.29378048732566814
Covariate,1,13,0.8427518427518428,critical,0.002702176570892334,0.08208749267943785,0.2922482905113248
Covariate,1,14,0.8517608517608518,critical,0.0011227726936340332,0.08445893874557059,0.30660059272171614
Covariate,1,15,0.8325143325143325,critical,0.0015277862548828125,0.08687919826987148,0.46982828257363024
Covariate,1,16,0.8423423423423423,critical,0.0018061399459838867,0.08864723622572661,0.4487668292969113
Covariate,1,17,0.8415233415233415,critical,0.0012889504432678223,0.09070075734748138,0.462362524816368
Covariate,1,18,0.8415233415233415,critical,0.0008183717727661133,0.0854619247964517,0.44594889852853864
Covariate,1,19,0.8342880523731587,critical,0.0007414817810058594,0.08642681741069436,0.4597496642617064
Covariate,2,1,0.8394758394758395,ok,0.0002689361572265625,0.0036309310298190487,0.07846781513743317
Covariate,2,2,0.8452088452088452,ok,0.00031048059463500977,0.0029723278169299944,0.043331324205819456
Covariate,2,3,0.8484848484848485,ok,0.00029647350311279297,0.003272734833702044,0.07177449026487137
Covariate,2,4,0.8468468468468469,ok,0.000706017017364502,0.0024636466171285266,0.06973835773938432
Covariate,2,5,0.8648648648648649,ok,0.0004456043243408203,0.0032088710056674173,0.05802764712751255
Covariate,2,6,0.8472563472563472,ok,0.0004742145538330078,0.0036293382593029807,0.06797820588697386
Covariate,2,7,0.8505323505323505,ok,0.0002881288528442383,0.0036133109613159875,0.042699565879091385
Covariate,2,8,0.8538083538083538,ok,0.00040733814239501953,0.0035393309031613194,0.05632842980923226
Covariate,2,9,0.8488943488943489,warning,0.00017088651657104492,0.004673566270945317,0.058787221143637734
Covariate,2,10,0.846027846027846,warning,0.0006616711616516113,0.0716306907753545,0.35818282415187747
