experiment,window,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,cosine_drift_mean,max_jsd_mean,alert_rate
Covariate,1,0.8473546273546273,0.843666662234034,0.8510425924752206,0.00039928674697875977,0.0031828291344023056,0.0
Covariate,2,0.8495495495495498,0.8463512863734481,0.8527478127256514,0.00043334722518920896,0.0031165947068190693,0.0
Covariate,3,0.843963963963964,0.8413734285117291,0.8465544994161989,0.00032042264938354493,0.0032434778953802984,0.08
Covariate,4,0.8538574938574938,0.851248257373812,0.8564667303411755,0.00043140411376953126,0.00310604901217903,0.36
Covariate,5,0.8506306306306307,0.847703584689734,0.8535576765715275,0.0003181171417236328,0.0030547235516260886,0.4
Covariate,6,0.8494348894348894,0.8462719154830427,0.8525978633867362,0.0003754806518554688,0.0032194225147733966,0.56
Covariate,7,0.8509090909090908,0.847764538452021,0.8540536433661606,0.00036402702331542967,0.003338165367853446,0.52
Covariate,8,0.8496314496314497,0.8467537407958121,0.8525091584670872,0.0003901052474975586,0.003159531063754705,0.56
Covariate,9,0.8480589680589681,0.8452097470695032,0.8509081890484329,0.0004350805282592773,0.003261246095677077,0.64
Covariate,10,0.8404914004914005,0.8374102584858992,0.8435725424969017,0.000921323299407959,0.0635909075540952,1.0
Covariate,11,0.8380999180999181,0.8349361312493159,0.8412637049505204,0.00099931001663208,0.06456498189934994,1.0
Covariate,12,0.8394430794430794,0.8358994456852948,0.8429867132008639,0.0009774208068847657,0.06354430785201542,1.0
Covariate,13,0.8400491400491401,0.836962639652606,0.8431356404456742,0.0011188697814941407,0.0636774507235896,1.0
Covariate,14,0.8395413595413594,0.8361823537514008,0.8429003653313181,0.0009305310249328613,0.06453742343098566,1.0
Covariate,15,0.8301719901719901,0.8265317089511238,0.8338122713928563,0.003541245460510254,0.1085532613154442,1.0
Covariate,16,0.8286977886977889,0.823893272115709,0.8335023052798688,0.0035625672340393066,0.10802202038096921,1.0
